token,source_text,cleaned_video_path,cleaned_pose_path,num_frames,pose_dim,signer_id,take_id,id,trim_start_frames,trim_end_frames,success,error_message
اوقف,أوقف,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اوقف/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اوقف/TOK_0003_T03.npy,38,1629,S01,T03,TOK_0003_T03,0,0,True,
اوقف,أوقف,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اوقف/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اوقف/TOK_0003_T04.npy,34,1629,S01,T04,TOK_0003_T04,0,3,True,
اسعاف,إسعاف,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اسعاف/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اسعاف/TOK_0004_T01.npy,53,1629,S01,T01,TOK_0004_T01,0,4,True,
اسعاف,إسعاف,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اسعاف/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اسعاف/TOK_0004_T02.npy,49,1629,S01,T02,TOK_0004_T02,3,17,True,
اسعاف,إسعاف,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اسعاف/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اسعاف/TOK_0004_T03.npy,56,1629,S01,T03,TOK_0004_T03,11,0,True,
اسعاف,إسعاف,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اسعاف/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اسعاف/TOK_0004_T04.npy,49,1629,S01,T04,TOK_0004_T04,0,6,True,
اسهال,إسهال,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اسهال/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اسهال/TOK_0005_T01.npy,51,1629,S01,T01,TOK_0005_T01,2,4,True,
اسهال,إسهال,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اسهال/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اسهال/TOK_0005_T02.npy,64,1629,S01,T02,TOK_0005_T02,0,2,True,
اسهال,إسهال,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اسهال/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اسهال/TOK_0005_T03.npy,77,1629,S01,T03,TOK_0005_T03,3,2,True,
اسهال,إسهال,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اسهال/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اسهال/TOK_0005_T04.npy,57,1629,S01,T04,TOK_0005_T04,0,0,True,
ابلع,ابلع,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/ابلع/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/ابلع/TOK_0006_T01.npy,32,1629,S01,T01,TOK_0006_T01,9,1,True,
ابلع,ابلع,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/ابلع/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/ابلع/TOK_0006_T02.npy,33,1629,S01,T02,TOK_0006_T02,0,4,True,
ابلع,ابلع,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/ابلع/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/ابلع/TOK_0006_T03.npy,64,1629,S01,T03,TOK_0006_T03,0,2,True,
ابلع,ابلع,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/ابلع/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/ابلع/TOK_0006_T04.npy,42,1629,S01,T04,TOK_0006_T04,0,2,True,
اثنين,اثنين,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اثنين/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اثنين/TOK_0007_T01.npy,40,1629,S01,T01,TOK_0007_T01,0,0,True,
اثنين,اثنين,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اثنين/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اثنين/TOK_0007_T02.npy,30,1629,S01,T02,TOK_0007_T02,0,0,True,
اثنين,اثنين,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اثنين/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اثنين/TOK_0007_T03.npy,38,1629,S01,T03,TOK_0007_T03,12,0,True,
اثنين,اثنين,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اثنين/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اثنين/TOK_0007_T04.npy,32,1629,S01,T04,TOK_0007_T04,0,0,True,
اذا,اذا,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اذا/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اذا/TOK_0008_T01.npy,35,1629,S01,T01,TOK_0008_T01,2,2,True,
اذا,اذا,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اذا/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اذا/TOK_0008_T02.npy,40,1629,S01,T02,TOK_0008_T02,0,1,True,
اذا,اذا,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اذا/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اذا/TOK_0008_T03.npy,36,1629,S01,T03,TOK_0008_T03,0,2,True,
اذا,اذا,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اذا/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اذا/TOK_0008_T04.npy,42,1629,S01,T04,TOK_0008_T04,0,0,True,
استخدم,استخدم,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/استخدم/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/استخدم/TOK_0009_T01.npy,32,1629,S01,T01,TOK_0009_T01,4,22,True,
استخدم,استخدم,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/استخدم/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/استخدم/TOK_0009_T02.npy,36,1629,S01,T02,TOK_0009_T02,0,10,True,
استخدم,استخدم,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/استخدم/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/استخدم/TOK_0009_T03.npy,37,1629,S01,T03,TOK_0009_T03,4,13,True,
استخدم,استخدم,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/استخدم/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/استخدم/TOK_0009_T04.npy,32,1629,S01,T04,TOK_0009_T04,2,12,True,
اشرب,اشرب,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اشرب/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اشرب/TOK_0010_T01.npy,38,1629,S01,T01,TOK_0010_T01,6,2,True,
اشرب,اشرب,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اشرب/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اشرب/TOK_0010_T02.npy,36,1629,S01,T02,TOK_0010_T02,3,1,True,
اشرب,اشرب,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اشرب/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اشرب/TOK_0010_T03.npy,60,1629,S01,T03,TOK_0010_T03,0,1,True,
اشرب,اشرب,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/اشرب/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/اشرب/TOK_0010_T04.npy,29,1629,S01,T04,TOK_0010_T04,0,3,True,
الاذن,الأذن,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الاذن/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الاذن/TOK_0011_T01.npy,50,1629,S01,T01,TOK_0011_T01,0,1,True,
الاذن,الأذن,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الاذن/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الاذن/TOK_0011_T02.npy,27,1629,S01,T02,TOK_0011_T02,24,0,True,
الاذن,الأذن,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الاذن/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الاذن/TOK_0011_T03.npy,67,1629,S01,T03,TOK_0011_T03,0,0,True,
الاذن,الأذن,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الاذن/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الاذن/TOK_0011_T04.npy,52,1629,S01,T04,TOK_0011_T04,0,0,True,
الانف,الأنف,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الانف/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الانف/TOK_0012_T01.npy,49,1629,S01,T01,TOK_0012_T01,0,2,True,
الانف,الأنف,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الانف/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الانف/TOK_0012_T02.npy,46,1629,S01,T02,TOK_0012_T02,0,0,True,
الانف,الأنف,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الانف/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الانف/TOK_0012_T03.npy,58,1629,S01,T03,TOK_0012_T03,0,4,True,
الانف,الأنف,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الانف/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الانف/TOK_0012_T04.npy,48,1629,S01,T04,TOK_0012_T04,0,0,True,
الجلد,الجلد,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الجلد/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الجلد/TOK_0013_T01.npy,42,1629,S01,T01,TOK_0013_T01,0,1,True,
الجلد,الجلد,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الجلد/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الجلد/TOK_0013_T02.npy,57,1629,S01,T02,TOK_0013_T02,0,0,True,
الجلد,الجلد,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الجلد/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الجلد/TOK_0013_T03.npy,42,1629,S01,T03,TOK_0013_T03,0,0,True,
الجلد,الجلد,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الجلد/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الجلد/TOK_0013_T04.npy,34,1629,S01,T04,TOK_0013_T04,0,0,True,
الصباح,الصباح,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الصباح/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الصباح/TOK_0014_T01.npy,40,1629,S01,T01,TOK_0014_T01,0,3,True,
الصباح,الصباح,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الصباح/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الصباح/TOK_0014_T02.npy,30,1629,S01,T02,TOK_0014_T02,7,0,True,
الصباح,الصباح,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الصباح/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الصباح/TOK_0014_T03.npy,56,1629,S01,T03,TOK_0014_T03,0,5,True,
الصباح,الصباح,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الصباح/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الصباح/TOK_0014_T04.npy,27,1629,S01,T04,TOK_0014_T04,11,2,True,
العين,العين,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/العين/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/العين/TOK_0015_T01.npy,48,1629,S01,T01,TOK_0015_T01,2,2,True,
العين,العين,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/العين/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/العين/TOK_0015_T02.npy,65,1629,S01,T02,TOK_0015_T02,0,0,True,
العين,العين,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/العين/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/العين/TOK_0015_T03.npy,48,1629,S01,T03,TOK_0015_T03,0,0,True,
العين,العين,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/العين/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/العين/TOK_0015_T04.npy,42,1629,S01,T04,TOK_0015_T04,5,0,True,
الفم,الفم,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الفم/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الفم/TOK_0016_T01.npy,43,1629,S01,T01,TOK_0016_T01,0,3,True,
الفم,الفم,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الفم/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الفم/TOK_0016_T02.npy,14,1629,S01,T02,TOK_0016_T02,30,0,True,
الفم,الفم,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الفم/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الفم/TOK_0016_T03.npy,57,1629,S01,T03,TOK_0016_T03,0,2,True,
الفم,الفم,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الفم/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الفم/TOK_0016_T04.npy,46,1629,S01,T04,TOK_0016_T04,2,0,True,
الليل,الليل,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الليل/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الليل/TOK_0017_T01.npy,24,1629,S01,T01,TOK_0017_T01,6,11,True,
الليل,الليل,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الليل/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الليل/TOK_0017_T02.npy,22,1629,S01,T02,TOK_0017_T02,0,17,True,
الليل,الليل,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الليل/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الليل/TOK_0017_T03.npy,58,1629,S01,T03,TOK_0017_T03,0,5,True,
الليل,الليل,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/الليل/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/الليل/TOK_0017_T04.npy,24,1629,S01,T04,TOK_0017_T04,1,15,True,
انتبه,انتبه,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/انتبه/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/انتبه/TOK_0018_T01.npy,37,1629,S01,T01,TOK_0018_T01,1,7,True,
انتبه,انتبه,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/انتبه/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/انتبه/TOK_0018_T02.npy,61,1629,S01,T02,TOK_0018_T02,0,0,True,
انتبه,انتبه,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/انتبه/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/انتبه/TOK_0018_T03.npy,71,1629,S01,T03,TOK_0018_T03,1,0,True,
انتبه,انتبه,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/انتبه/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/انتبه/TOK_0018_T04.npy,37,1629,S01,T04,TOK_0018_T04,1,0,True,
انتظر,انتظر,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/انتظر/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/انتظر/TOK_0019_T01.npy,51,1629,S01,T01,TOK_0019_T01,3,0,True,
انتظر,انتظر,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/انتظر/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/انتظر/TOK_0019_T02.npy,47,1629,S01,T02,TOK_0019_T02,0,4,True,
انتظر,انتظر,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/انتظر/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/انتظر/TOK_0019_T03.npy,65,1629,S01,T03,TOK_0019_T03,5,0,True,
انتظر,انتظر,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/انتظر/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/انتظر/TOK_0019_T04.npy,38,1629,S01,T04,TOK_0019_T04,0,3,True,
بخه,بخة,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/بخه/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/بخه/TOK_0020_T01.npy,50,1629,S01,T01,TOK_0020_T01,0,2,True,
بخه,بخة,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/بخه/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/بخه/TOK_0020_T02.npy,39,1629,S01,T02,TOK_0020_T02,0,0,True,
بخه,بخة,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/بخه/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/بخه/TOK_0020_T03.npy,68,1629,S01,T03,TOK_0020_T03,0,5,True,
بخه,بخة,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/بخه/S01_T04.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/بخه/TOK_0020_T04.npy,36,1629,S01,T04,TOK_0020_T04,0,0,True,
براد,براد,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/براد/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/براد/TOK_0021_T01.npy,48,1629,S01,T01,TOK_0021_T01,3,2,True,
براد,براد,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/براد/S01_T02.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/براد/TOK_0021_T02.npy,44,1629,S01,T02,TOK_0021_T02,0,1,True,
براد,براد,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/براد/S01_T03.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/براد/TOK_0021_T03.npy,45,1629,S01,T03,TOK_0021_T03,0,0,True,
بعد الاكل,بعد الأكل,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_tokens/بعد الاكل/S01_T01.mp4,C:/Users/alaan/Desktop/SignData_Prepared/large_sentence_experiment/assets/cleaned_pose_full/بعد الاكل/TOK_0022_T01.npy,44,1629,S01,T01,TOK_0022_T01,7,1,True,
